iter	Passed	Remaining
689	3318	1490
690	3322	1485
691	3326	1480
692	3330	1475
693	3334	1470
694	3338	1465
695	3342	1459
696	3345	1454
697	3348	1448
698	3352	1443
699	3356	1438
700	3361	1433
701	3365	1428
702	3368	1423
703	3373	1418
704	3376	1412
705	3379	1407
706	3383	1402
707	3387	1397
708	3390	1391
709	3393	1386
710	3397	1380
711	3401	1375
712	3405	1370
713	3409	1365
714	3412	1360
715	3415	1354
716	3420	1350
717	3423	1344
718	3427	1339
719	3430	1334
720	3435	1329
721	3440	1324
722	3443	1319
723	3447	1314
724	3452	1309
725	3455	1304
726	3458	1298
727	3462	1293
728	3466	1288
729	3469	1283
730	3473	1278
731	3476	1272
732	3480	1267
733	3484	1262
734	3487	1257
735	3491	1252
736	3494	1247
737	3498	1242
738	3502	1236
739	3505	1231
740	3508	1226
741	3511	1221
742	3515	1216
743	3519	1211
744	3524	1206
745	3527	1201
746	3531	1196
747	3536	1191
748	3539	1186
749	3542	1180
750	3545	1175
751	3549	1170
752	3553	1165
753	3557	1160
754	3560	1155
755	3565	1150
756	3568	1145
757	3572	1140
758	3576	1135
759	3580	1130
760	3584	1125
761	3587	1120
762	3590	1115
763	3593	1110
764	3597	1105
765	3601	1100
766	3604	1094
767	3607	1089
768	3612	1085
769	3616	1080
770	3619	1075
771	3622	1069
772	3626	1065
773	3631	1060
774	3636	1055
775	3639	1050
776	3643	1045
777	3647	1040
778	3650	1035
779	3653	1030
780	3657	1025
781	3661	1020
782	3665	1015
783	3668	1010
784	3671	1005
785	3675	1000
786	3679	995
787	3682	990
788	3685	985
789	3689	980
790	3693	975
791	3697	970
792	3700	965
793	3703	960
794	3706	955
795	3710	950
796	3713	945
797	3717	940
798	3720	935
799	3723	930
800	3728	926
801	3731	921
802	3734	916
803	3737	911
804	3741	906
805	3745	901
806	3749	896
807	3752	891
808	3755	886
809	3759	881
810	3764	877
811	3770	873
812	3775	868
813	3779	863
814	3783	858
815	3787	853
816	3790	849
817	3794	844
818	3797	839
819	3801	834
820	3805	829
821	3808	824
822	3811	819
823	3815	815
824	3820	810
825	3823	805
826	3826	800
827	3829	795
828	3834	790
829	3837	786
830	3841	781
831	3844	776
832	3849	771
833	3852	766
834	3855	761
835	3858	756
836	3861	752
837	3867	747
838	3870	742
839	3873	737
840	3877	733
841	3881	728
842	3884	723
843	3887	718
844	3891	713
845	3894	708
846	3898	704
847	3902	699
848	3905	694
849	3908	689
850	3912	685
851	3916	680
852	3919	675
853	3923	670
854	3926	665
855	3930	661
856	3934	656
857	3937	651
858	3941	646
859	3944	642
860	3948	637
861	3951	632
862	3954	627
863	3957	622
864	3961	618
865	3965	613
866	3968	608
867	3971	604
868	3975	599
869	3979	594
870	3983	589
871	3987	585
872	3990	580
873	3994	575
874	3999	571
875	4002	566
876	4006	561
877	4010	557
878	4014	552
879	4017	547
880	4021	543
881	4024	538
882	4028	533
883	4032	529
884	4036	524
885	4039	519
886	4043	515
887	4047	510
888	4050	505
889	4053	500
890	4056	496
891	4061	491
892	4064	487
893	4067	482
894	4071	477
895	4076	473
896	4080	468
897	4084	463
898	4088	459
899	4092	454
900	4095	450
901	4099	445
902	4103	440
903	4109	436
904	4112	431
905	4116	427
906	4120	422
907	4125	417
908	4129	413
909	4133	408
910	4136	404
911	4141	399
912	4156	396
913	4160	391
914	4164	386
915	4167	382
916	4172	377
917	4176	373
918	4180	368
919	4184	363
